,0,label
301,"[1, 52, 0]",211
302,"[1, 52, 0]",211
303,"[1, 52, 0]",211
304,"[1, 52, 0]",211
305,"[1, 52, 0]",211
306,"[1, 52, 0]",211
307,"[1, 52, 0]",211
308,"[1, 52, 0]",211
309,"[1, 52, 0]",211
310,"[1, 52, 0]",211
311,"[1, 52, 0]",211
312,"[1, 52, 0]",211
313,"[1, 52, 0]",211
314,"[1, 52, 0]",211
315,"[1, 52, 0]",211
316,"[1, 52, 0]",211
317,"[1, 52, 0]",211
318,"[1, 52, 0]",211
319,"[1, 219, 0]",211
320,"[1, 159, 0]",211
321,"[1, 143, 0]",211
322,"[1, 143, 0]",211
323,"[1, 150, 0]",211
324,"[1, 150, 0]",211
325,"[1, 143, 0]",211
326,"[1, 150, 0]",211
327,"[1, 150, 0]",211
328,"[1, 438, 0]",211
329,"[1, 201, 0]",211
330,"[1, 254, 0]",211
331,"[1, 143, 0]",211
332,"[1, 20, 0]",211
333,"[1, 84, 0]",211
334,"[1, 1380, 0]",211
335,"[1, 20, 0]",211
336,"[1, 20, 0]",211
337,"[1, 32, 0]",211
338,"[1, 641, 0]",211
339,"[1, 201, 0]",211
340,"[1, 201, 0]",211
341,"[1, 254, 0]",211
342,"[1, 192, 0]",211
343,"[1, 20, 0]",211
344,"[1, 192, 0]",211
345,"[1, 32, 0]",211
346,"[1, 201, 0]",211
347,"[1, 32, 0]",211
348,"[1, 251, 0]",211
349,"[1, 1380, 0]",211
350,"[1, 641, 0]",211
351,"[1, 20, 0]",211
352,"[1, 20, 0]",211
353,"[1, 1380, 0]",211
354,"[1, 20, 0]",211
355,"[1, 143, 0]",211
356,"[1, 254, 0]",211
357,"[1, 1380, 0]",211
358,"[1, 201, 0]",211
359,"[1, 254, 0]",211
360,"[1, 98, 0]",211
361,"[1, 143, 0]",211
362,"[1, 192, 0]",211
363,"[1, 20, 0]",211
364,"[1, 20, 0]",211
365,"[1, 1380, 0]",211
366,"[1, 254, 0]",211
367,"[1, 641, 0]",211
368,"[1, 641, 0]",211
369,"[1, 201, 0]",211
370,"[1, 143, 0]",211
371,"[1, 143, 0]",211
372,"[1, 252, 0]",211
373,"[1, 20, 0]",211
374,"[1, 1305, 0]",211
375,"[1, 254, 0]",211
376,"[1, 641, 0]",211
377,"[1, 201, 0]",211
378,"[1, 254, 0]",211
379,"[1, 20, 0]",211
380,"[1, 192, 0]",211
381,"[1, 20, 0]",211
382,"[1, 201, 0]",211
383,"[1, 192, 0]",211
384,"[1, 32, 0]",211
385,"[1, 201, 0]",211
386,"[1, 32, 0]",211
387,"[1, 251, 0]",211
388,"[1, 1380, 0]",211
389,"[1, 641, 0]",211
390,"[1, 20, 0]",211
391,"[1, 32, 0]",211
392,"[1, 20, 0]",211
393,"[1, 1380, 0]",211
394,"[1, 20, 0]",211
395,"[1, 143, 0]",211
396,"[1, 252, 0]",211
397,"[1, 254, 0]",211
398,"[1, 52, 0]",211
399,"[1, 52, 0]",211
400,"[1, 20, 0]",220
401,"[1, 140, 0]",220
402,"[1, 133, 0]",220
403,"[1, 20, 0]",220
404,"[1, 140, 0]",220
405,"[1, 32, 0]",220
406,"[1, 133, 0]",220
407,"[1, 133, 0]",220
408,"[1, 133, 0]",220
409,"[1, 133, 0]",220
410,"[1, 20, 0]",220
411,"[1, 133, 0]",220
412,"[1, 133, 0]",220
413,"[1, 20, 0]",220
414,"[1, 140, 0]",220
415,"[1, 20, 0]",220
416,"[1, 20, 0]",220
417,"[1, 140, 0]",220
418,"[1, 133, 0]",220
419,"[1, 32, 0]",220
420,"[1, 32, 0]",220
421,"[1, 52, 0]",220
422,"[1, 52, 0]",220
