,0,1,2,3,4,label
171,"[1, 51, 0]","[1, 192, 0]","[0, 32, 0]","[0, 32, 0]","[1, 1380, 11]",210
172,"[1, 641, 0]","[0, 192, 48]","[0, 1380, 48]","[0, 51, 48]","[0, 1380, 48]",210
173,"[1, 201, 0]","[1, 55, 0]","[1, 115, 0]","[1, 91, 0]","[1, 55, 0]",210
174,"[1, 51, 0]","[0, 20, 44]","[0, 32, 44]","[1, 407, 68]","[0, 20, 99]",210
175,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 1]","[1, 55, 1]",210
176,"[1, 20, 0]","[0, 201, 73]","[0, 55, 73]","[0, 91, 73]","[0, 55, 73]",210
177,"[1, 1380, 0]","[1, 1380, 1]","[0, 20, 1]","[1, 524, 1]","[0, 84, 7]",210
178,"[1, 693, 0]","[0, 1380, 59]","[0, 1380, 59]","[0, 524, 59]","[0, 524, 59]",210
179,"[1, 143, 0]","[1, 1145, 0]","[1, 1380, 166]","[0, 20, 181]","[0, 159, 181]",210
180,"[1, 32, 0]","[0, 32, 13]","[1, 20, 13]","[1, 693, 14]","[0, 20, 29]",210
181,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 1]","[1, 55, 1]",210
182,"[1, 201, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 0]","[1, 115, 2]",210
183,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]",210
184,"[1, 32, 0]","[0, 32, 12]","[1, 20, 12]","[1, 693, 12]","[0, 20, 28]",210
185,"[1, 20, 0]","[1, 20, 3]","[1, 20, 3]","[1, 20, 3]","[1, 20, 3]",210
186,"[1, 201, 0]","[1, 91, 1]","[1, 55, 1]","[1, 55, 1]","[1, 115, 2]",210
187,"[1, 201, 0]","[1, 55, 0]","[1, 115, 0]","[1, 91, 1]","[1, 55, 2]",210
188,"[1, 693, 0]","[0, 20, 55]","[0, 1380, 55]","[0, 1380, 55]","[0, 524, 55]",210
189,"[1, 693, 0]","[0, 1380, 41]","[0, 1380, 41]","[0, 524, 41]","[0, 524, 41]",210
190,"[1, 532, 0]","[1, 51, 0]","[1, 20, 0]","[0, 20, 0]","[0, 51, 1]",210
191,"[1, 641, 0]","[0, 523, 14]","[0, 20, 14]","[0, 541, 14]","[0, 192, 14]",210
192,"[1, 254, 0]","[0, 20, 43]","[0, 541, 43]","[0, 541, 43]","[0, 32, 43]",210
